"","metric","base-llm_GPT-4o"
"1","ANOnto","0.0"
"2","AROnto","0.6206896551724138"
"3","CBOOnto","0.9655172413793104"
"4","CBOnto2","0.9655172413793104"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.9655172413793104"
"8","LCOMOnto","1.9473684210526316"
"9","NACOnto","1.0"
"10","NOCOnto","2.8"
"11","NOMOnto","1.8620689655172413"
"12","POnto","0.6206896551724138"
"13","PROnto","0.6585365853658537"
"14","RFCOnto","2.8275862068965516"
"15","RROnto","0.34146341463414637"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.9473684210526316"
"19","WMCOnto2","1.0"
