"","metric","base-llm_llama-3-8b-8bits"
"1","ANOnto","0.0"
"2","AROnto","2.2857142857142856"
"3","CBOOnto","0.8571428571428571"
"4","CBOnto2","0.8571428571428571"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.8571428571428571"
"8","LCOMOnto","1.2"
"9","NACOnto","1.0"
"10","NOCOnto","3.0"
"11","NOMOnto","3.4285714285714284"
"12","POnto","0.14285714285714285"
"13","PROnto","0.8"
"14","RFCOnto","4.285714285714286"
"15","RROnto","0.2"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.2"
"19","WMCOnto2","1.0"
