"metric","GPT-4_RAG","GPT-4o_FT","GPT-4o_RAG","llama-2-13b_FT","llama-3-70b_base-llm","llama-3-8b-4bits_FT","llama-3-8b-8bits_FT"
"ANOnto","0.75","0.8","0.8","0.8","0.0","0.8","0.8"
"AROnto","2.5","2.2","2.0","2.2","2.75","2.0","1.6"
"CBOOnto","0.75","0.8","0.8","0.8","0.9166666666666666","0.8","0.8"
"CBOnto2","0.75","0.8","0.8","0.8","0.9166666666666666","0.8","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","3.0","2.0","2.0"
"INROnto","0.75","0.8","0.8","0.8","0.9166666666666666","0.8","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0","1.5","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","3.0","4.0","4.0","4.0","2.75","4.0","4.0"
"NOMOnto","7.5","6.6","6.0","6.6","3.4166666666666665","6.0","4.8"
"POnto","0.0","0.0","0.0","0.0","0.3333333333333333","0.0","0.0"
"PROnto","0.9090909090909091","0.8918918918918919","0.8823529411764706","0.8918918918918919","0.7884615384615384","0.8823529411764706","0.8571428571428571"
"RFCOnto","8.25","7.4","6.8","7.4","4.333333333333333","6.8","5.6"
"RROnto","0.09090909090909091","0.10810810810810811","0.11764705882352941","0.10810810810810811","0.21153846153846154","0.11764705882352941","0.14285714285714285"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.5","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
