"metric","GPT-4_RAG","GPT-4o_FT","GPT-4o_RAG","llama-2-13b_FT","llama-3-70b_base-llm","llama-3-8b-4bits_FT","llama-3-8b-8bits_FT"
"ANOnto","0.6666666666666666","0.8","0.6666666666666666","0.9473684210526315","0.0","0.8333333333333334","0.9230769230769231"
"AROnto","3.0","3.0","2.0","0.9473684210526315","1.2857142857142858","2.0","1.3846153846153846"
"CBOOnto","0.6666666666666666","0.8","0.6666666666666666","0.9473684210526315","0.8571428571428571","0.8333333333333334","0.9230769230769231"
"CBOnto2","0.6666666666666666","0.8","0.6666666666666666","0.9473684210526315","0.8571428571428571","0.8333333333333334","0.9230769230769231"
"CROnto","0.0","0.0","0.0","0.0","0.42857142857142855","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0","3.0"
"INROnto","0.6666666666666666","0.8","0.6666666666666666","0.9473684210526315","0.8571428571428571","0.8333333333333334","0.9230769230769231"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.3"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","2.0","4.0","2.0","18.0","6.0","5.0","4.0"
"NOMOnto","9.0","9.0","6.0","3.5789473684210527","3.857142857142857","6.166666666666667","4.153846153846154"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0","0.23076923076923078"
"PROnto","0.9310344827586207","0.9183673469387755","0.9","0.7906976744186046","0.8181818181818182","0.8809523809523809","0.8181818181818182"
"RFCOnto","9.666666666666666","9.8","6.666666666666667","4.526315789473684","4.714285714285714","7.0","5.076923076923077"
"RROnto","0.06896551724137931","0.08163265306122448","0.1","0.20930232558139536","0.18181818181818182","0.11904761904761904","0.18181818181818182"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.3"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
