"metric","GPT-4_RAG","GPT-4o_FT","GPT-4o_RAG","llama-2-13b_FT","llama-3-8b-4bits_FT","llama-3-8b-8bits_FT","mixtral_base-llm"
"ANOnto","0.8","0.9230769230769231","0.875","0.8571428571428571","0.8333333333333334","0.9230769230769231","0.0"
"AROnto","4.0","1.2307692307692308","2.25","2.4285714285714284","1.6666666666666667","1.3846153846153846","1.1304347826086956"
"CBOOnto","0.8","0.9230769230769231","0.875","0.8571428571428571","0.8333333333333334","0.9230769230769231","0.9565217391304348"
"CBOnto2","0.8","0.9230769230769231","0.875","0.8571428571428571","0.8333333333333334","0.9230769230769231","0.9565217391304348"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","0.34782608695652173"
"DITOnto","2.0","2.0","2.0","2.0","2.0","3.0","3.0"
"INROnto","0.8","0.9230769230769231","0.875","0.8571428571428571","0.8333333333333334","0.9230769230769231","0.9565217391304348"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.3","1.85"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","4.0","12.0","7.0","6.0","5.0","4.0","7.333333333333333"
"NOMOnto","12.0","3.6923076923076925","6.75","7.285714285714286","5.0","4.153846153846154","3.391304347826087"
"POnto","0.0","0.0","0.0","0.0","0.0","0.23076923076923078","0.782608695652174"
"PROnto","0.9375","0.8","0.8852459016393442","0.8947368421052632","0.8571428571428571","0.8181818181818182","0.78"
"RFCOnto","12.8","4.615384615384615","7.625","8.142857142857142","5.833333333333333","5.076923076923077","4.3478260869565215"
"RROnto","0.0625","0.2","0.11475409836065574","0.10526315789473684","0.14285714285714285","0.18181818181818182","0.22"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.3","1.85"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
