"metric","GPT-4_RAG","GPT-4o_FT","GPT-4o_RAG","llama-2-13b_FT","llama-3-8b-4bits_FT","llama-3-8b-8bits_FT"
"ANOnto","0.75","0.8","0.8","0.8","0.9","0.8"
"AROnto","2.5","5.2","5.2","5.2","1.6","4.6"
"CBOOnto","0.75","0.8","0.8","0.8","0.9","0.8"
"CBOnto2","0.75","0.8","0.8","0.8","0.9","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.75","0.8","0.8","0.8","0.9","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","3.0","4.0","4.0","4.0","9.0","4.0"
"NOMOnto","7.5","15.6","15.6","15.6","5.1","14.4"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.9090909090909091","0.9512195121951219","0.9512195121951219","0.9512195121951219","0.85","0.9473684210526315"
"RFCOnto","8.25","16.4","16.4","16.4","6.0","15.2"
"RROnto","0.09090909090909091","0.04878048780487805","0.04878048780487805","0.04878048780487805","0.15","0.05263157894736842"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0"
