"metric","GPT-4o","llama-2-13b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.8","0.9473684210526315","0.8333333333333334","0.9230769230769231"
"AROnto","3.0","0.9473684210526315","2.0","1.3846153846153846"
"CBOOnto","0.8","0.9473684210526315","0.8333333333333334","0.9230769230769231"
"CBOnto2","0.8","0.9473684210526315","0.8333333333333334","0.9230769230769231"
"CROnto","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","3.0"
"INROnto","0.8","0.9473684210526315","0.8333333333333334","0.9230769230769231"
"LCOMOnto","1.0","1.0","1.0","1.3"
"NACOnto","1.0","1.0","1.0","1.0"
"NOCOnto","4.0","18.0","5.0","4.0"
"NOMOnto","9.0","3.5789473684210527","6.166666666666667","4.153846153846154"
"POnto","0.0","0.0","0.0","0.23076923076923078"
"PROnto","0.9183673469387755","0.7906976744186046","0.8809523809523809","0.8181818181818182"
"RFCOnto","9.8","4.526315789473684","7.0","5.076923076923077"
"RROnto","0.08163265306122448","0.20930232558139536","0.11904761904761904","0.18181818181818182"
"TMOnto","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.3"
"WMCOnto2","1.0","1.0","1.0","1.0"
