"experiment","method","dataset","ANOnto","AROnto","CBOOnto","CBOnto2","CROnto","DITOnto","INROnto","LCOMOnto","NACOnto","NOCOnto","NOMOnto","POnto","PROnto","RFCOnto","RROnto","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"base-llm","GPT-3.5","AirlinesCustomerSatisfaction","0.0","6.0","0.75","0.75","0.0","2.0","0.75","1.0","1.0","3.0","12.0","0.0","0.9411764705882353","12.75","0.058823529411764705","0.0","0.0","1.0","1.0"
"base-llm","GPT-3.5","BigBasketProducts","0.0","2.25","0.9166666666666666","0.9166666666666666","0.0","3.0","0.9166666666666666","1.1","1.0","5.5","4.5","0.08333333333333333","0.8307692307692308","5.416666666666667","0.16923076923076924","0.0","0.0","1.1","1.0"
"base-llm","GPT-3.5","BrazilianE-commerce","0.0","6.5","0.5","0.5","0.0","2.0","0.5","1.0","1.0","1.0","19.5","0.0","0.975","20.0","0.025","0.0","0.0","1.0","1.0"
"base-llm","GPT-3.5","CustomerComplaint","0.0","0.45","0.95","0.95","0.0","2.0","0.95","1.0","1.0","19.0","1.35","0.0","0.5869565217391305","2.3","0.41304347826086957","0.0","0.0","1.0","1.0"
"base-llm","GPT-3.5","eCommerce","0.0","7.111111111111111","0.8888888888888888","0.8888888888888888","0.0","2.0","0.8888888888888888","1.0","1.0","8.0","21.333333333333332","0.0","0.96","22.22222222222222","0.04","0.0","0.0","1.0","1.0"
"base-llm","GPT-4","AmazonRating","0.0","1.1666666666666667","0.8333333333333334","0.8333333333333334","0.0","2.0","0.8333333333333334","1.0","1.0","5.0","3.5","0.0","0.8076923076923077","4.333333333333333","0.19230769230769232","0.0","0.0","1.0","1.0"
"base-llm","GPT-4","BigBasketProducts","0.0","3.090909090909091","1.1818181818181819","1.1818181818181819","0.0","5.0","1.1818181818181819","2.2857142857142856","1.5","1.8571428571428572","2.5454545454545454","0.6363636363636364","0.6829268292682927","3.727272727272727","0.3170731707317073","0.3","2.0","4.0","1.75"
"base-llm","GPT-4","BrazilianE-commerce","0.0","1.25","0.75","0.75","0.0","2.0","0.75","1.0","1.0","3.0","4.75","0.0","0.8636363636363636","5.5","0.13636363636363635","0.0","0.0","1.0","1.0"
"base-llm","GPT-4","CustomerComplaint","0.0","0.5757575757575758","0.9696969696969697","0.9696969696969697","0.0","2.0","0.9696969696969697","1.0","1.0","32.0","1.7272727272727273","0.0","0.6404494382022472","2.696969696969697","0.3595505617977528","0.0","0.0","1.0","1.0"
"base-llm","GPT-4","eCommerce","0.0","1.0909090909090908","1.1363636363636365","1.1363636363636365","0.0","4.0","1.1363636363636365","3.0","1.25","2.5","1.6363636363636365","0.5","0.5901639344262295","2.772727272727273","0.4098360655737705","0.047619047619047616","2.0","4.5","1.5"
"base-llm","GPT-4o","AirlinesCustomerSatisfaction","0.0","0.696969696969697","0.9696969696969697","0.9696969696969697","0.0","2.0","0.9696969696969697","1.0","1.0","32.0","2.090909090909091","0.0","0.6831683168316832","3.0606060606060606","0.31683168316831684","0.0","0.0","1.0","1.0"
"base-llm","GPT-4o","CustomerComplaint","0.0","0.6206896551724138","0.9655172413793104","0.9655172413793104","0.0","3.0","0.9655172413793104","1.9473684210526316","1.0","2.8","1.8620689655172413","0.6206896551724138","0.6585365853658537","2.8275862068965516","0.34146341463414637","0.0","0.0","1.9473684210526316","1.0"
"base-llm","GPT-4o","eCommerce","0.0","1.6666666666666667","0.8333333333333334","0.8333333333333334","0.0","2.0","0.8333333333333334","1.0","1.0","5.0","5.0","0.0","0.8571428571428571","5.833333333333333","0.14285714285714285","0.0","0.0","1.0","1.0"
"base-llm","llama-2-13b","AmazonRating","0.0","0.0","0.875","0.875","0.25","2.0","0.875","1.0","1.0","7.0","0.0","0.0","0.0","0.875","1.0","0.0","0.0","1.0","1.0"
"base-llm","llama-2-13b","BigBasketProducts","0.0","0.0","0.6666666666666666","0.6666666666666666","0.0","2.0","0.6666666666666666","1.0","1.0","2.0","4.0","0.0","0.8571428571428571","4.666666666666667","0.14285714285714285","0.0","0.0","1.0","1.0"
"base-llm","llama-2-13b","CustomerComplaint","0.0","0.0","0.9444444444444444","0.9444444444444444","0.0","2.0","0.9444444444444444","1.0","1.0","17.0","0.0","0.0","0.0","0.9444444444444444","1.0","0.0","0.0","1.0","1.0"
"base-llm","llama-2-13b","eCommerce","0.8888888888888888","0.0","0.8888888888888888","0.8888888888888888","2.6666666666666665","2.0","0.8888888888888888","1.0","1.0","8.0","3.5555555555555554","0.0","0.8","4.444444444444445","0.2","0.0","0.0","1.0","1.0"
