"metric","FT","RAG"
"ANOnto","0.9230769230769231","0.875"
"AROnto","1.2307692307692308","2.25"
"CBOOnto","0.9230769230769231","0.875"
"CBOnto2","0.9230769230769231","0.875"
"CROnto","0.0","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.9230769230769231","0.875"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","12.0","7.0"
"NOMOnto","3.6923076923076925","6.75"
"POnto","0.0","0.0"
"PROnto","0.8","0.8852459016393442"
"RFCOnto","4.615384615384615","7.625"
"RROnto","0.2","0.11475409836065574"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
