"","metric","FT-llm_llama-2-7b-4bits"
"1","ANOnto","0.9166666666666666"
"2","AROnto","3.25"
"3","CBOOnto","0.9166666666666666"
"4","CBOnto2","0.9166666666666666"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.9166666666666666"
"8","LCOMOnto","1.4"
"9","NACOnto","1.0"
"10","NOCOnto","5.5"
"11","NOMOnto","5.75"
"12","POnto","0.3333333333333333"
"13","PROnto","0.8625"
"14","RFCOnto","6.666666666666667"
"15","RROnto","0.1375"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.4"
"19","WMCOnto2","1.0"
