"metric","BigBasketProducts","BrazilianE-commerce","CustomerComplaint"
"ANOnto","0.0","0.0","0.0"
"AROnto","0.05714285714285714","1.75","0.5555555555555556"
"CBOOnto","1.6571428571428573","0.75","0.9444444444444444"
"CBOnto2","1.6571428571428573","0.75","0.9444444444444444"
"CROnto","0.14285714285714285","0.0","0.0"
"DITOnto","4.0","2.0","3.0"
"INROnto","0.9142857142857143","0.5","0.8888888888888888"
"LCOMOnto","2.16","1.0","1.9230769230769231"
"NACOnto","1.0","1.0","1.0"
"NOCOnto","3.5555555555555554","2.0","4.0"
"NOMOnto","0.2","7.5","2.2222222222222223"
"POnto","0.02857142857142857","0.0","0.0"
"PROnto","0.1794871794871795","0.9375","0.7142857142857143"
"RFCOnto","1.8571428571428572","8.25","3.1666666666666665"
"RROnto","0.8205128205128205","0.0625","0.2857142857142857"
"TMOnto","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0"
"WMCOnto","2.076923076923077","0.6666666666666666","1.7857142857142858"
"WMCOnto2","0.9615384615384616","0.6666666666666666","0.9285714285714286"
