"metric","GPT-3.5","GPT-4","llama-2-13b","llama-2-13b-4bits","llama-2-13b-8bits","llama-3-70b-4bits","llama-3-8b-4bits","mistral-7b"
"ANOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.125","0.15384615384615385"
"AROnto","2.25","3.090909090909091","0.0","0.3333333333333333","0.05714285714285714","2.3","0.0","2.6153846153846154"
"CBOOnto","0.9166666666666666","1.1818181818181819","0.6666666666666666","0.6666666666666666","1.6571428571428573","0.9","0.875","0.9230769230769231"
"CBOnto2","0.9166666666666666","1.1818181818181819","0.6666666666666666","0.6666666666666666","1.6571428571428573","0.9","0.875","0.9230769230769231"
"CROnto","0.0","0.0","0.0","0.3333333333333333","0.14285714285714285","0.0","3.0","0.0"
"DITOnto","3.0","5.0","2.0","2.0","4.0","3.0","4.0","4.0"
"INROnto","0.9166666666666666","1.1818181818181819","0.6666666666666666","0.6666666666666666","0.9142857142857143","0.9","0.875","0.9230769230769231"
"LCOMOnto","1.1","2.2857142857142856","1.0","1.0","2.16","1.2857142857142858","1.4","1.2"
"NACOnto","1.0","1.5","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","5.5","1.8571428571428572","2.0","2.0","3.5555555555555554","3.0","2.3333333333333335","4.0"
"NOMOnto","4.5","2.5454545454545454","4.0","3.6666666666666665","0.2","4.5","2.5","5.0"
"POnto","0.08333333333333333","0.6363636363636364","0.0","0.0","0.02857142857142857","0.2","0.25","0.15384615384615385"
"PROnto","0.8307692307692308","0.6829268292682927","0.8571428571428571","0.8461538461538461","0.1794871794871795","0.8333333333333334","0.7407407407407407","0.8441558441558441"
"RFCOnto","5.416666666666667","3.727272727272727","4.666666666666667","4.333333333333333","1.8571428571428572","5.4","3.375","5.923076923076923"
"RROnto","0.16923076923076924","0.3170731707317073","0.14285714285714285","0.15384615384615385","0.8205128205128205","0.16666666666666666","0.25925925925925924","0.15584415584415584"
"TMOnto","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.1","4.0","1.0","1.0","2.076923076923077","1.2857142857142858","1.4","1.2"
"WMCOnto2","1.0","1.75","1.0","1.0","0.9615384615384616","1.0","1.0","1.0"
