"metric","GPT-3.5","GPT-4","llama-2-13b","llama-2-13b-4bits","llama-2-13b-8bits","llama-3-70b-4bits","llama-3-8b-4bits","mistral-7b"
"ANOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"AROnto","5.0","5.0","1.0","2.0","1.0","5.0","1.0","5.0"
"CBOOnto","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"CBOnto2","5.0","5.0","5.0","5.0","4.0","5.0","5.0","5.0"
"CROnto","1.0","1.0","1.0","2.0","1.0","1.0","5.0","1.0"
"DITOnto","4.0","3.0","5.0","5.0","4.0","4.0","4.0","4.0"
"INROnto","5.0","5.0","4.0","4.0","5.0","5.0","5.0","5.0"
"LCOMOnto","5.0","4.0","5.0","5.0","4.0","5.0","5.0","5.0"
"NACOnto","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"NOCOnto","4.0","5.0","5.0","5.0","4.0","5.0","5.0","4.0"
"NOMOnto","3.0","4.0","4.0","4.0","5.0","3.0","4.0","3.0"
"POnto","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"PROnto","5.0","4.0","5.0","5.0","1.0","5.0","4.0","5.0"
"RFCOnto","4.0","4.0","4.0","4.0","5.0","4.0","4.0","4.0"
"RROnto","1.0","2.0","1.0","1.0","5.0","1.0","2.0","1.0"
"TMOnto","5.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0"
"TMOnto2","5.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0"
"WMCOnto","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"WMCOnto2","5.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0"
