method,dataset,TOTAL_base,TOTAL_FT,CRITICAL_base,CRITICAL_FT,IMPORTANT_base,IMPORTANT_FT,MINOR_base,MINOR_FT
GPT-3.5,AirlinesCustomerSatisfaction,6,3,1,0,2,1,3,2
GPT-3.5,AmazonRating,5,3,0,0,2,1,3,2
GPT-3.5,BigBasketProducts,5,2,0,0,2,1,3,1
GPT-3.5,BrazilianE-commerce,2,2,0,0,1,1,1,1
GPT-3.5,CustomerComplaint,6,3,0,0,2,1,4,2
GPT-3.5,eCommerce,4,2,0,0,2,1,2,1
GPT-4o,AirlinesCustomerSatisfaction,6,4,0,0,2,2,4,2
GPT-4o,AmazonRating,7,3,0,0,3,1,4,2
GPT-4o,BigBasketProducts,6,3,0,0,3,1,3,2
GPT-4o,BrazilianE-commerce,6,3,0,0,2,1,4,2
GPT-4o,CustomerComplaint,6,4,0,0,2,2,4,2
GPT-4o,eCommerce,4,3,0,0,2,1,2,2
llama-2-13b,AmazonRating,4,3,0,0,1,1,3,2
llama-2-13b,BigBasketProducts,5,4,0,1,2,1,3,2
llama-2-13b,BrazilianE-commerce,8,6,1,1,3,2,4,3
llama-2-13b,CustomerComplaint,4,3,0,0,2,1,2,2
llama-2-13b,eCommerce,5,3,0,0,3,1,2,2
llama-3-8b,AirlinesCustomerSatisfaction,6,3,0,0,2,1,4,2
llama-3-8b,AmazonRating,6,4,1,1,2,1,3,2
llama-3-8b,BigBasketProducts,4,4,0,0,2,1,2,3
llama-3-8b,CustomerComplaint,5,4,0,1,2,1,3,2
llama-3-8b-4bits,BigBasketProducts,6,5,0,0,4,2,2,3
llama-3-8b-4bits,BrazilianE-commerce,5,3,0,0,2,1,3,2
llama-3-8b-4bits,eCommerce,5,3,0,0,2,1,3,2
llama-3-8b-8bits,AirlinesCustomerSatisfaction,3,4,0,0,1,1,2,3
llama-3-8b-8bits,AmazonRating,4,4,0,1,1,1,3,2
llama-3-8b-8bits,BigBasketProducts,5,3,1,0,2,1,2,2
llama-3-8b-8bits,BrazilianE-commerce,5,4,0,0,2,2,3,2
llama-3-8b-8bits,CustomerComplaint,4,5,0,0,1,2,3,3
llama-3-8b-8bits,eCommerce,5,3,0,0,2,1,3,2
