"","metric","base-llm_GPT-4"
"1","ANOnto","0.0"
"2","AROnto","0.5757575757575758"
"3","CBOOnto","0.9696969696969697"
"4","CBOnto2","0.9696969696969697"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.9696969696969697"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","32.0"
"11","NOMOnto","1.7272727272727273"
"12","POnto","0.0"
"13","PROnto","0.6404494382022472"
"14","RFCOnto","2.696969696969697"
"15","RROnto","0.3595505617977528"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
