"","metric","base-llm_llama-3-70b-4bits"
"1","ANOnto","0.0"
"2","AROnto","2.1333333333333333"
"3","CBOOnto","1.0"
"4","CBOnto2","1.0"
"5","CROnto","0.06666666666666667"
"6","DITOnto","3.0"
"7","INROnto","1.0"
"8","LCOMOnto","1.5833333333333333"
"9","NACOnto","1.0909090909090908"
"10","NOCOnto","3.75"
"11","NOMOnto","4.8"
"12","POnto","0.4666666666666667"
"13","PROnto","0.8275862068965517"
"14","RFCOnto","5.8"
"15","RROnto","0.1724137931034483"
"16","TMOnto","0.07142857142857142"
"17","TMOnto2","2.0"
"18","WMCOnto","1.7272727272727273"
"19","WMCOnto2","1.0909090909090908"
