"metric","AirlinesCustomerSatisfaction","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.0","0.0","0.0","0.0","0.0"
"AROnto","6.0","2.25","6.5","0.45","7.111111111111111"
"CBOOnto","0.75","0.9166666666666666","0.5","0.95","0.8888888888888888"
"CBOnto2","0.75","0.9166666666666666","0.5","0.95","0.8888888888888888"
"CROnto","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","3.0","2.0","2.0","2.0"
"INROnto","0.75","0.9166666666666666","0.5","0.95","0.8888888888888888"
"LCOMOnto","1.0","1.1","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","3.0","5.5","1.0","19.0","8.0"
"NOMOnto","12.0","4.5","19.5","1.35","21.333333333333332"
"POnto","0.0","0.08333333333333333","0.0","0.0","0.0"
"PROnto","0.9411764705882353","0.8307692307692308","0.975","0.5869565217391305","0.96"
"RFCOnto","12.75","5.416666666666667","20.0","2.3","22.22222222222222"
"RROnto","0.058823529411764705","0.16923076923076924","0.025","0.41304347826086957","0.04"
"TMOnto","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.1","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0"
