"metric","AirlinesCustomerSatisfaction","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","1.0","1.0","1.0","1.0","1.0"
"AROnto","5.0","5.0","5.0","3.0","5.0"
"CBOOnto","5.0","5.0","5.0","5.0","5.0"
"CBOnto2","5.0","5.0","5.0","5.0","5.0"
"CROnto","1.0","1.0","1.0","1.0","1.0"
"DITOnto","5.0","4.0","5.0","5.0","5.0"
"INROnto","4.0","5.0","3.0","5.0","5.0"
"LCOMOnto","5.0","5.0","5.0","5.0","5.0"
"NACOnto","5.0","5.0","5.0","5.0","5.0"
"NOCOnto","5.0","4.0","5.0","1.0","3.0"
"NOMOnto","1.0","3.0","1.0","5.0","1.0"
"POnto","5.0","5.0","5.0","5.0","5.0"
"PROnto","5.0","5.0","5.0","3.0","5.0"
"RFCOnto","1.0","4.0","1.0","5.0","1.0"
"RROnto","1.0","1.0","1.0","3.0","1.0"
"TMOnto","5.0","5.0","5.0","5.0","5.0"
"TMOnto2","5.0","5.0","5.0","5.0","5.0"
"WMCOnto","5.0","5.0","5.0","5.0","5.0"
"WMCOnto2","5.0","5.0","5.0","5.0","5.0"
