dataset,prefix,count_total,count_valid,rate_valid,count_invalid,rate_invalid
AirlinesCustomerSatisfaction,dbo,3,0,0,3,100
BrazilianE-commerce,dbr,12,0,0,12,100
AmazonRating,dcterms,2,2,100,0,0
CustomerComplaint,dcterms,2,2,100,0,0
AirlinesCustomerSatisfaction,foaf,2,0,0,2,100
AmazonRating,foaf,1,1,100,0,0
BrazilianE-commerce,foaf,1,1,100,0,0
CustomerComplaint,foaf,1,1,100,0,0
AmazonRating,gr,1,1,100,0,0
AirlinesCustomerSatisfaction,owl,6,6,100,0,0
AmazonRating,owl,11,11,100,0,0
BigBasketProducts,owl,9,9,100,0,0
BrazilianE-commerce,owl,9,9,100,0,0
CustomerComplaint,owl,6,6,100,0,0
eCommerce,owl,8,8,100,0,0
AirlinesCustomerSatisfaction,rdf,3,3,100,0,0
AmazonRating,rdf,3,3,100,0,0
BigBasketProducts,rdf,3,3,100,0,0
BrazilianE-commerce,rdf,3,3,100,0,0
CustomerComplaint,rdf,3,3,100,0,0
eCommerce,rdf,3,3,100,0,0
AirlinesCustomerSatisfaction,rdfs,8,8,100,0,0
AmazonRating,rdfs,9,9,100,0,0
BigBasketProducts,rdfs,10,10,100,0,0
BrazilianE-commerce,rdfs,8,8,100,0,0
CustomerComplaint,rdfs,7,7,100,0,0
eCommerce,rdfs,7,7,100,0,0
AmazonRating,rev,1,1,100,0,0
AirlinesCustomerSatisfaction,schema,17,14,82.35,3,17.65
AmazonRating,schema,6,6,100,0,0
BigBasketProducts,schema,13,10,76.92,3,23.08
BrazilianE-commerce,schema,5,5,100,0,0
CustomerComplaint,schema,19,17,89.47,2,10.53
eCommerce,schema,11,11,100,0,0
CustomerComplaint,skos,1,1,100,0,0
AirlinesCustomerSatisfaction,sosa,1,1,100,0,0
BrazilianE-commerce,vcard,3,3,100,0,0
AirlinesCustomerSatisfaction,xsd,4,4,100,0,0
AmazonRating,xsd,8,8,100,0,0
BigBasketProducts,xsd,5,5,100,0,0
BrazilianE-commerce,xsd,4,4,100,0,0
CustomerComplaint,xsd,2,2,100,0,0
eCommerce,xsd,9,9,100,0,0
