method,prefix,count_total,count_valid,rate_valid,count_invalid,rate_invalid
GPT-4,dbo,3,0,0,3,100
GPT-3.5,dbr,12,0,0,12,100
GPT-4,dcterms,1,1,100,0,0
GPT-4o,dcterms,3,3,100,0,0
GPT-4,foaf,4,2,50,2,50
GPT-4o,foaf,1,1,100,0,0
GPT-4,gr,1,1,100,0,0
GPT-3.5,owl,16,16,100,0,0
GPT-4,owl,17,17,100,0,0
GPT-4o,owl,16,16,100,0,0
GPT-3.5,rdf,6,6,100,0,0
GPT-4,rdf,6,6,100,0,0
GPT-4o,rdf,6,6,100,0,0
GPT-3.5,rdfs,15,15,100,0,0
GPT-4,rdfs,15,15,100,0,0
GPT-4o,rdfs,19,19,100,0,0
GPT-4,rev,1,1,100,0,0
GPT-4,schema,38,35,92.11,3,7.89
GPT-4o,schema,33,28,84.85,5,15.15
GPT-4,skos,1,1,100,0,0
GPT-4,sosa,1,1,100,0,0
GPT-4,vcard,3,3,100,0,0
GPT-3.5,xsd,14,14,100,0,0
GPT-4,xsd,12,12,100,0,0
GPT-4o,xsd,6,6,100,0,0
