"metric","GPT-3.5","GPT-4o","GPT-4o-mini","llama-2-13b","llama-2-7b","llama-2-7b-4bits","llama-2-7b-8bits","llama-3-8b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.8571428571428571","0.875","0.9230769230769231","0.8571428571428571","0.8","0.8333333333333334","0.0","0.9473684210526315","0.8333333333333334","0.9285714285714286"
"AROnto","1.7142857142857142","1.625","1.2307692307692308","2.4285714285714284","1.6","1.1666666666666667","2.857142857142857","1.2105263157894737","1.6666666666666667","0.7857142857142857"
"CBOOnto","0.8571428571428571","0.875","0.9230769230769231","0.8571428571428571","0.8","0.9166666666666666","0.8571428571428571","0.9473684210526315","0.8333333333333334","0.9285714285714286"
"CBOnto2","0.8571428571428571","0.875","0.9230769230769231","0.8571428571428571","0.8","0.9166666666666666","0.8571428571428571","0.9473684210526315","0.8333333333333334","0.9285714285714286"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.8571428571428571","0.875","0.9230769230769231","0.8571428571428571","0.8","0.9166666666666666","0.8571428571428571","0.9473684210526315","0.8333333333333334","0.9285714285714286"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","6.0","7.0","12.0","6.0","4.0","11.0","6.0","18.0","5.0","13.0"
"NOMOnto","5.142857142857143","5.125","3.6923076923076925","7.285714285714286","4.8","3.5","8.714285714285714","3.736842105263158","5.0","2.357142857142857"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.8571428571428571","0.8541666666666666","0.8","0.8947368421052632","0.8571428571428571","0.7924528301886793","0.9104477611940298","0.797752808988764","0.8571428571428571","0.717391304347826"
"RFCOnto","6.0","6.0","4.615384615384615","8.142857142857142","5.6","4.416666666666667","9.571428571428571","4.684210526315789","5.833333333333333","3.2857142857142856"
"RROnto","0.14285714285714285","0.14583333333333334","0.2","0.10526315789473684","0.14285714285714285","0.20754716981132076","0.08955223880597014","0.20224719101123595","0.14285714285714285","0.2826086956521739"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
