"metric","AirlinesCustomerSatisfaction","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.75","0.75","0.8","0.6666666666666666","0.8","0.75"
"AROnto","2.5","1.5","1.8","3.0","4.0","2.5"
"CBOOnto","0.75","0.75","0.8","0.6666666666666666","0.8","0.75"
"CBOnto2","0.75","0.75","0.8","0.6666666666666666","0.8","0.75"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.75","0.75","0.8","0.6666666666666666","0.8","0.75"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","3.0","3.0","4.0","2.0","4.0","3.0"
"NOMOnto","7.5","4.5","5.4","9.0","12.0","7.5"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.9090909090909091","0.8571428571428571","0.8709677419354839","0.9310344827586207","0.9375","0.9090909090909091"
"RFCOnto","8.25","5.25","6.2","9.666666666666666","12.8","8.25"
"RROnto","0.09090909090909091","0.14285714285714285","0.12903225806451613","0.06896551724137931","0.0625","0.09090909090909091"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0"
