"metric","AirlinesCustomerSatisfaction","BigBasketProducts","BrazilianE-commerce","CustomerComplaint"
"ANOnto","0.9545454545454546","0.15384615384615385","0.375","0.0"
"AROnto","1.0909090909090908","2.6153846153846154","2.0","0.0"
"CBOOnto","0.9545454545454546","0.9230769230769231","0.875","0.9375"
"CBOnto2","0.9545454545454546","0.9230769230769231","0.875","0.9375"
"CROnto","0.0","0.0","0.625","0.0"
"DITOnto","3.0","4.0","3.0","2.0"
"INROnto","0.9545454545454546","0.9230769230769231","0.875","0.9375"
"LCOMOnto","1.05","1.2","1.1666666666666667","1.0"
"NACOnto","1.0","1.0","1.0","1.0"
"NOCOnto","10.5","4.0","3.5","15.0"
"NOMOnto","3.272727272727273","5.0","3.375","2.1875"
"POnto","0.045454545454545456","0.15384615384615385","0.125","0.0"
"PROnto","0.7741935483870968","0.8441558441558441","0.7941176470588235","0.7"
"RFCOnto","4.2272727272727275","5.923076923076923","4.25","3.125"
"RROnto","0.22580645161290322","0.15584415584415584","0.20588235294117646","0.3"
"TMOnto","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0"
"WMCOnto","1.05","1.2","1.1666666666666667","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0"
