"metric","base-llm","FT-llm"
"ANOnto","0.0","0.8571428571428571"
"AROnto","0.45","1.7142857142857142"
"CBOOnto","0.95","0.8571428571428571"
"CBOnto2","0.95","0.8571428571428571"
"CROnto","0.0","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.95","0.8571428571428571"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","19.0","6.0"
"NOMOnto","1.35","5.142857142857143"
"POnto","0.0","0.0"
"PROnto","0.5869565217391305","0.8571428571428571"
"RFCOnto","2.3","6.0"
"RROnto","0.41304347826086957","0.14285714285714285"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
