method,dataset,total,validity,corrected
GPT-3.5,AirlinesCustomerSatisfaction,4,4,0
GPT-4,AirlinesCustomerSatisfaction,8,8,0
GPT-4o,AirlinesCustomerSatisfaction,7,7,0
GPT-3.5,AmazonRating,3,3,0
GPT-4,AmazonRating,8,8,0
GPT-4o,AmazonRating,6,6,0
GPT-3.5,BigBasketProducts,3,3,0
GPT-4,BigBasketProducts,8,8,0
GPT-4o,BigBasketProducts,6,6,0
GPT-3.5,BrazilianE-commerce,5,5,0
GPT-4,BrazilianE-commerce,6,6,0
GPT-4o,BrazilianE-commerce,5,5,0
GPT-3.5,CustomerComplaint,4,4,0
GPT-4,CustomerComplaint,8,8,0
GPT-4o,CustomerComplaint,6,6,0
GPT-3.5,eCommerce,4,4,0
GPT-4,eCommerce,9,9,0
GPT-4o,eCommerce,7,7,0
