method,dataset,total,validity,validity_rate,corrected,corrected_rate
llama-3-8b 4bits,AirlinesCustomerSatisfaction,10,10,100,0,0
llama-3-8b 4bits,AmazonRating,9,9,100,0,0
llama-3-8b 4bits,BigBasketProducts,10,10,100,0,0
llama-3-8b 4bits,BrazilianE-commerce,10,10,100,0,0
llama-3-8b 4bits,CustomerComplaint,10,10,100,0,0
llama-3-8b 4bits,eCommerce,12,12,100,0,0
llama-3-8b 8bits,AirlinesCustomerSatisfaction,11,11,100,0,0
llama-3-8b 8bits,AmazonRating,11,11,100,0,0
llama-3-8b 8bits,BigBasketProducts,9,9,100,0,0
llama-3-8b 8bits,BrazilianE-commerce,11,11,100,0,0
llama-3-8b 8bits,CustomerComplaint,10,10,100,0,0
llama-3-8b 8bits,eCommerce,12,12,100,0,0
llama-3-8b all,AirlinesCustomerSatisfaction,10,10,100,0,0
llama-3-8b all,AmazonRating,10,10,100,0,0
llama-3-8b all,BigBasketProducts,10,10,100,0,0
llama-3-8b all,BrazilianE-commerce,10,10,100,0,0
llama-3-8b all,CustomerComplaint,11,11,100,0,0
llama-3-8b all,eCommerce,12,12,100,0,0
