dataset,prefix,count_total,count_valid,rate_valid,count_invalid,rate_invalid
AirlinesCustomerSatisfaction,owl,10,10,100,0,0
AmazonRating,owl,11,11,100,0,0
BigBasketProducts,owl,12,12,100,0,0
BrazilianE-commerce,owl,14,14,100,0,0
CustomerComplaint,owl,13,13,100,0,0
eCommerce,owl,15,15,100,0,0
AirlinesCustomerSatisfaction,rdf,5,4,80,1,20
AmazonRating,rdf,6,4,66.67,2,33.33
BigBasketProducts,rdf,6,5,83.33,1,16.67
BrazilianE-commerce,rdf,4,4,100,0,0
CustomerComplaint,rdf,7,4,57.14,3,42.86
eCommerce,rdf,4,4,100,0,0
AirlinesCustomerSatisfaction,rdfs,10,10,100,0,0
AmazonRating,rdfs,12,12,100,0,0
BigBasketProducts,rdfs,13,12,92.31,1,7.69
BrazilianE-commerce,rdfs,13,13,100,0,0
CustomerComplaint,rdfs,11,11,100,0,0
eCommerce,rdfs,13,13,100,0,0
AirlinesCustomerSatisfaction,xsd,10,10,100,0,0
AmazonRating,xsd,10,10,100,0,0
BigBasketProducts,xsd,11,11,100,0,0
BrazilianE-commerce,xsd,20,17,85,3,15
CustomerComplaint,xsd,12,12,100,0,0
eCommerce,xsd,15,15,100,0,0
