method,quantization,dataset,feature,value,prefix,id,correct
llama-2-13b,all,AirlinesCustomerSatisfaction,total,11,NA,NA,NA
llama-2-13b,all,AirlinesCustomerSatisfaction,validity,11,NA,NA,NA
llama-2-13b,all,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,rdfs:label,rdfs,label,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-13b,all,AmazonRating,total,12,NA,NA,NA
llama-2-13b,all,AmazonRating,validity,12,NA,NA,NA
llama-2-13b,all,AmazonRating,corrected,0,NA,NA,NA
llama-2-13b,all,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,all,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,all,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,all,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
llama-2-13b,all,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-13b,all,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,all,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-13b,all,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
llama-2-13b,all,AmazonRating,URIs,xsd:integer,xsd,integer,TRUE
llama-2-13b,all,AmazonRating,URIs,xsd:string,xsd,string,TRUE
llama-2-13b,all,AmazonRating,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-13b,all,AmazonRating,URIs,xsd:dateTime,xsd,dateTime,TRUE
llama-2-13b,all,BigBasketProducts,total,12,NA,NA,NA
llama-2-13b,all,BigBasketProducts,validity,12,NA,NA,NA
llama-2-13b,all,BigBasketProducts,corrected,0,NA,NA,NA
llama-2-13b,all,BigBasketProducts,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,all,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,all,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,all,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
llama-2-13b,all,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-13b,all,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,all,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-13b,all,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
llama-2-13b,all,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-2-13b,all,BigBasketProducts,URIs,xsd:date,xsd,date,TRUE
llama-2-13b,all,BigBasketProducts,URIs,xsd:integer,xsd,integer,TRUE
llama-2-13b,all,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-13b,all,BrazilianE-commerce,total,11,NA,NA,NA
llama-2-13b,all,BrazilianE-commerce,validity,11,NA,NA,NA
llama-2-13b,all,BrazilianE-commerce,corrected,0,NA,NA,NA
llama-2-13b,all,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,all,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,all,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,all,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
llama-2-13b,all,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-13b,all,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,all,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-13b,all,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
