method,quantization,dataset,feature,value,correct
llama-2-13b,4bits,AirlinesCustomerSatisfaction,total,3,NA
llama-2-13b,4bits,AirlinesCustomerSatisfaction,validity,3,NA
llama-2-13b,4bits,AirlinesCustomerSatisfaction,corrected,0,NA
llama-2-13b,4bits,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-2-13b,8bits,AirlinesCustomerSatisfaction,total,3,NA
llama-2-13b,8bits,AirlinesCustomerSatisfaction,validity,3,NA
llama-2-13b,8bits,AirlinesCustomerSatisfaction,corrected,0,NA
llama-2-13b,8bits,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-2-13b,8bits,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-2-13b,8bits,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-2-13b,8bits,AmazonRating,total,4,NA
llama-2-13b,8bits,AmazonRating,validity,4,NA
llama-2-13b,8bits,AmazonRating,corrected,0,NA
llama-2-13b,8bits,AmazonRating,prefixes,rdf,TRUE
llama-2-13b,8bits,AmazonRating,prefixes,rdfs,TRUE
llama-2-13b,8bits,AmazonRating,prefixes,owl,TRUE
llama-2-13b,8bits,AmazonRating,prefixes,xsd,TRUE
llama-2-13b,all,AmazonRating,total,3,NA
llama-2-13b,all,AmazonRating,validity,3,NA
llama-2-13b,all,AmazonRating,corrected,0,NA
llama-2-13b,all,AmazonRating,prefixes,rdf,TRUE
llama-2-13b,all,AmazonRating,prefixes,owl,TRUE
llama-2-13b,all,AmazonRating,prefixes,xsd,TRUE
llama-2-13b,4bits,BigBasketProducts,total,3,NA
llama-2-13b,4bits,BigBasketProducts,validity,3,NA
llama-2-13b,4bits,BigBasketProducts,corrected,0,NA
llama-2-13b,4bits,BigBasketProducts,prefixes,rdf,TRUE
llama-2-13b,4bits,BigBasketProducts,prefixes,owl,TRUE
llama-2-13b,4bits,BigBasketProducts,prefixes,xsd,TRUE
llama-2-13b,8bits,BigBasketProducts,total,4,NA
llama-2-13b,8bits,BigBasketProducts,validity,4,NA
llama-2-13b,8bits,BigBasketProducts,corrected,0,NA
llama-2-13b,8bits,BigBasketProducts,prefixes,rdf,TRUE
llama-2-13b,8bits,BigBasketProducts,prefixes,rdfs,TRUE
llama-2-13b,8bits,BigBasketProducts,prefixes,owl,TRUE
llama-2-13b,8bits,BigBasketProducts,prefixes,xsd,TRUE
llama-2-13b,all,BigBasketProducts,total,3,NA
llama-2-13b,all,BigBasketProducts,validity,3,NA
llama-2-13b,all,BigBasketProducts,corrected,0,NA
llama-2-13b,all,BigBasketProducts,prefixes,rdf,TRUE
llama-2-13b,all,BigBasketProducts,prefixes,rdfs,TRUE
llama-2-13b,all,BigBasketProducts,prefixes,owl,TRUE
llama-2-13b,4bits,BrazilianE-commerce,total,3,NA
llama-2-13b,4bits,BrazilianE-commerce,validity,3,NA
llama-2-13b,4bits,BrazilianE-commerce,corrected,0,NA
llama-2-13b,4bits,BrazilianE-commerce,prefixes,rdf,TRUE
llama-2-13b,4bits,BrazilianE-commerce,prefixes,owl,TRUE
llama-2-13b,4bits,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-2-13b,8bits,BrazilianE-commerce,total,3,NA
llama-2-13b,8bits,BrazilianE-commerce,validity,3,NA
llama-2-13b,8bits,BrazilianE-commerce,corrected,0,NA
llama-2-13b,8bits,BrazilianE-commerce,prefixes,rdf,TRUE
llama-2-13b,8bits,BrazilianE-commerce,prefixes,owl,TRUE
llama-2-13b,8bits,BrazilianE-commerce,prefixes,xsd,TRUE
