dataset,prefix,total,correct,validity_rate,incorrect
AirlinesCustomerSatisfaction,owl,3,3,100,0
AirlinesCustomerSatisfaction,rdf,3,3,100,0
AirlinesCustomerSatisfaction,rdfs,1,1,100,0
AirlinesCustomerSatisfaction,xsd,3,3,100,0
AmazonRating,owl,2,2,100,0
AmazonRating,rdf,2,2,100,0
AmazonRating,rdfs,1,1,100,0
AmazonRating,xsd,2,2,100,0
BigBasketProducts,owl,3,3,100,0
BigBasketProducts,rdf,3,3,100,0
BigBasketProducts,rdfs,2,2,100,0
BigBasketProducts,xsd,2,2,100,0
BrazilianE-commerce,owl,3,3,100,0
BrazilianE-commerce,rdf,3,3,100,0
BrazilianE-commerce,rdfs,2,2,100,0
BrazilianE-commerce,xsd,1,1,100,0
CustomerComplaint,owl,2,2,100,0
CustomerComplaint,rdf,2,2,100,0
CustomerComplaint,xsd,2,2,100,0
eCommerce,owl,3,3,100,0
eCommerce,rdf,3,3,100,0
eCommerce,rdfs,3,3,100,0
