dataset,prefix,total,correct,validity_rate,incorrect
AirlinesCustomerSatisfaction,owl,1,1,100,0
AirlinesCustomerSatisfaction,rdf,2,2,100,0
AirlinesCustomerSatisfaction,rdfs,1,1,100,0
AirlinesCustomerSatisfaction,xsd,2,2,100,0
AmazonRating,owl,2,1,50,1
AmazonRating,rdf,2,1,50,1
AmazonRating,rdfs,2,1,50,1
AmazonRating,xsd,1,1,100,0
BigBasketProducts,owl,1,1,100,0
BigBasketProducts,rdf,1,0,0,1
BigBasketProducts,rdfs,1,0,0,1
BrazilianE-commerce,owl,2,1,50,1
BrazilianE-commerce,rdf,2,1,50,1
BrazilianE-commerce,rdfs,2,1,50,1
BrazilianE-commerce,xsd,2,2,100,0
CustomerComplaint,owl,2,2,100,0
CustomerComplaint,rdf,2,1,50,1
CustomerComplaint,rdfs,2,1,50,1
CustomerComplaint,xsd,2,2,100,0
eCommerce,owl,2,2,100,0
eCommerce,rdf,2,1,50,1
eCommerce,rdfs,2,1,50,1
eCommerce,xsd,1,1,100,0
