method,dataset,total,validity,validity_rate,corrected
GPT-3.5,AirlinesCustomerSatisfaction,4,4,100,0
GPT-3.5,AmazonRating,4,4,100,0
GPT-3.5,BigBasketProducts,3,3,100,0
GPT-3.5,BrazilianE-commerce,4,4,100,0
GPT-3.5,CustomerComplaint,4,4,100,0
GPT-3.5,eCommerce,4,4,100,0
GPT-4o,AirlinesCustomerSatisfaction,4,4,100,0
GPT-4o,AmazonRating,4,4,100,0
GPT-4o,BigBasketProducts,4,4,100,0
GPT-4o,BrazilianE-commerce,4,4,100,0
GPT-4o,CustomerComplaint,4,4,100,0
GPT-4o,eCommerce,4,4,100,0
GPT-4o-mini,AirlinesCustomerSatisfaction,4,4,100,0
GPT-4o-mini,AmazonRating,4,4,100,0
GPT-4o-mini,BigBasketProducts,4,4,100,0
GPT-4o-mini,BrazilianE-commerce,4,4,100,0
GPT-4o-mini,CustomerComplaint,4,4,100,0
GPT-4o-mini,eCommerce,4,4,100,0
