"","metric","base-llm_llama-2-13b-8bits"
"1","ANOnto","0.0"
"2","AROnto","0.5555555555555556"
"3","CBOOnto","0.9444444444444444"
"4","CBOnto2","0.9444444444444444"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.8888888888888888"
"8","LCOMOnto","1.9230769230769231"
"9","NACOnto","1.0"
"10","NOCOnto","4.0"
"11","NOMOnto","2.2222222222222223"
"12","POnto","0.0"
"13","PROnto","0.7142857142857143"
"14","RFCOnto","3.1666666666666665"
"15","RROnto","0.2857142857142857"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.7857142857142858"
"19","WMCOnto2","0.9285714285714286"
