https://base_ontology.com#ProductReview

**Data Description:**

1. ProductId: text - Product identifier - no range
2. Rating: categorical - User rating - 1.0 to 5.0
3. Timestamp: text - Timestamp of the review - no range
4. UserId: text - User identifier - no range

**Classes:**

1. class_entity

**Subclasses:**

1. entity_name: subclass of -> class_entity

**Object Properties:**

1. hasProductId: domain - class_entity, range - text
2. hasRating: domain - class_entity, range - categorical
3. hasTimestamp: domain - class_entity, range - text
4. hasUserId: domain - class_entity, range - text

**Data Type Properties:**

1. hasNonNullCount: domain - class_entity, range - integer
2. hasType: domain - class_entity, range - text
3. hasUniqueCount: domain - class_entity, range - integer
4. hasCount: domain - class_entity, range - real
5. hasMax: domain - class_entity, range - real
6. hasMean: domain - class_entity, range - real
7. hasMin: domain - class_entity, range - real
8. hasStd: domain - class_entity, range - real
